Use Case,Rank,Latitude (°N/S),Longitude (°E),Elevation (m),Slope (deg),Roughness (m),Prominence (m),Visibility (%),Dist to PSR (km),Suitability Score
Habitation,1,-89.3768,52.742,-1324.67,0.35,534.28,160.49,97.01,0.08,82.47
Habitation,2,-89.0731,-9.9985,-2281.87,0.15,698.3,-782.29,100,0.08,82.03
Habitation,3,-89.5875,133.1858,-2441.35,2.92,738.1,-947.57,100,0.08,80.87
Habitation,4,-89.4891,-144.6687,-1794.96,2.97,677.85,-287.08,100,0.08,80.75
Habitation,5,-88.7448,98.9476,-662.5,3.14,462.48,821.41,96.19,0.08,80.53
Mineral Research,1,-88.5386,138.3665,-3661.15,84.44,1032.24,-2116.69,0,0,100
Mineral Research,2,-88.94,172.1321,-2841.26,86.65,1010.45,-1371.04,0,0,100
Mineral Research,3,-88.9707,65.1428,-2934.46,86.06,963.3,-1453.4,0,0,100
Mineral Research,4,-88.7194,-78.1113,-2887.73,80.72,1050.37,-1398.85,0,0,100
Mineral Research,5,-88.4816,-138.9452,-3234.24,82.16,1062.71,-1713.16,0,0,100
Landing Site,1,-89.3768,52.742,-1324.67,0.35,534.28,160.49,97.01,0.08,77.44
Landing Site,2,-89.8395,64.6986,-1544.37,3.89,494.46,-43.39,94.76,0.08,75.48
Landing Site,3,-88.7448,98.9476,-662.5,3.14,462.48,821.41,96.19,0.08,74.61
Landing Site,4,-89.3826,108.4349,-1820.64,3.27,554.46,-272.85,96.28,0.08,74.47
Landing Site,5,-89.285,-66.7459,-1209.69,5.44,461.08,284.05,93.72,0.08,74.45
Solar Energy Generation,1,-89.2237,-164.8303,101.67,3.05,763.41,1621.92,98.5,0.08,89.7
Solar Energy Generation,2,-88.8017,-72.8416,-550.96,1.67,729.92,939.11,100,0.08,89.42
Solar Energy Generation,3,-88.9415,137.1211,-492.42,2.45,593.32,1041.91,97.65,0.08,88.83
Solar Energy Generation,4,-88.91,-41.1729,-175.84,5.34,742.83,1339.39,97.88,0.08,88.81
Solar Energy Generation,5,-88.7448,98.9476,-662.5,3.14,462.48,821.41,96.19,0.08,88.63
Communication & Navigation,1,-89.2237,-164.8303,101.67,3.05,763.41,1621.92,98.5,0.08,89.55
Communication & Navigation,2,-88.91,-41.1729,-175.84,5.34,742.83,1339.39,97.88,0.08,89.17
Communication & Navigation,3,-88.8793,-5.2677,-82.44,7.81,761.52,1472.39,99.13,0.08,88.78
Communication & Navigation,4,-89.1202,147.7396,-62.15,7.42,686.62,1439.57,96.2,0.08,88.77
Communication & Navigation,5,-89.4132,-16.7239,-158.42,3.31,712.56,1360.17,90.18,0.08,87.82
Scientific Research,1,-89.2716,-35.4171,48.6,69.04,1052.7,1552.21,1.22,0,100
Scientific Research,2,-88.36,44.1527,-151.72,61.35,964.34,1332.83,1.19,0,100
Scientific Research,3,-88.6008,-32.7612,996.78,69.47,1041.79,2510.41,2.31,0,100
Scientific Research,4,-89.4557,59.0839,-192.87,65.82,1028.88,1335.43,1.82,0,100
Scientific Research,5,-89.5151,-84.6927,68.96,72.01,1021.23,1523.23,1.8,0,100

