Use Case,Rank,Latitude (°N/S),Longitude (°E),Elevation (m),Slope (deg),Sun Vis (%),Earth Vis (%),Dist to PSR (km),Ice Proxy Score,Radiation Risk,Suitability Score
Habitation,1,-89.3768,52.742,-1324.67,0.35,99.48,89.48,0.08,94.81,82.8,81.85
Habitation,2,-89.0731,-9.9985,-2281.87,0.15,99.78,89.78,0.08,94.81,93.77,80.97
Habitation,3,-88.801,-115.2682,-1560.09,1.63,97.55,87.55,0.08,94.81,84.0,80.31
Habitation,4,-88.7448,98.9476,-662.5,3.14,95.29,85.29,0.08,94.81,72.33,79.7
Habitation,5,-89.8395,64.6986,-1544.37,3.89,94.17,84.17,0.08,94.81,81.41,79.54
Mineral Research,1,-89.2569,12.5067,-2878.85,65.69,1.47,0.0,0.0,100.0,31.03,100.0
Mineral Research,2,-89.2546,-38.5331,-4429.88,65.74,1.39,0.0,0.0,100.0,30.97,100.0
Mineral Research,3,-89.3069,96.5569,-3213.27,65.59,1.62,0.0,0.0,100.0,31.13,100.0
Mineral Research,4,-89.7547,78.2066,-2826.06,65.88,1.19,0.0,0.0,100.0,30.83,100.0
Mineral Research,5,-88.2146,-135.6585,-3034.04,65.84,1.24,0.0,0.0,100.0,30.87,100.0
Landing Site,1,-89.3768,52.742,-1324.67,0.35,99.48,89.48,0.08,94.81,82.8,77.28
Landing Site,2,-89.8395,64.6986,-1544.37,3.89,94.17,84.17,0.08,94.81,81.41,75.3
Landing Site,3,-88.7448,98.9476,-662.5,3.14,95.29,85.29,0.08,94.81,72.33,74.63
Landing Site,4,-88.801,-115.2682,-1560.09,1.63,97.55,87.55,0.08,94.81,84.0,74.26
Landing Site,5,-89.3826,108.4349,-1820.64,3.27,95.1,85.1,0.08,94.81,84.68,74.22
Solar Energy Generation,1,-89.4132,-16.7239,-158.42,3.31,95.04,85.04,0.08,94.81,66.52,88.92
Solar Energy Generation,2,-89.2237,-164.8303,101.67,3.05,95.43,85.43,0.08,94.81,66.8,88.73
Solar Energy Generation,3,-88.7448,98.9476,-662.5,3.14,95.29,85.29,0.08,94.81,72.33,88.57
Solar Energy Generation,4,-88.8017,-72.8416,-550.96,1.67,97.49,87.49,0.08,94.81,72.52,88.48
Solar Energy Generation,5,-89.3768,52.742,-1324.67,0.35,99.48,89.48,0.08,94.81,82.8,88.03
Communication & Navigation,1,-89.4132,-16.7239,-158.42,3.31,95.04,85.04,0.08,94.81,66.52,86.3
Communication & Navigation,2,-89.2237,-164.8303,101.67,3.05,95.43,85.43,0.08,94.81,66.8,86.03
Communication & Navigation,3,-88.8901,-99.4399,281.72,3.17,95.24,85.24,0.08,94.81,66.67,84.93
Communication & Navigation,4,-88.91,-41.1729,-175.84,5.34,91.99,81.99,0.08,94.81,64.39,84.36
Communication & Navigation,5,-88.9184,176.0837,-312.06,4.53,93.2,83.2,0.08,94.81,66.65,83.4
Scientific Research,1,-89.8126,-80.2724,-59.71,66.08,0.88,0.0,0.0,100.0,0.62,99.99
Scientific Research,2,-88.9851,-14.7587,-80.01,66.04,0.94,0.0,0.0,100.0,0.66,99.99
Scientific Research,3,-89.0621,74.1653,-38.62,81.01,0.0,0.0,0.0,100.0,0.0,99.99
Scientific Research,4,-89.1031,-156.6022,60.39,79.49,0.0,0.0,0.0,100.0,0.0,99.99
Scientific Research,5,-89.5562,-127.7555,323.21,84.35,0.0,0.0,0.0,100.0,0.0,99.99
Ice Extraction Proxy,1,-88.1641,-44.0684,-2310.26,80.02,0.0,0.0,0.0,100.0,24.01,100.0
Ice Extraction Proxy,2,-88.1951,136.8362,-2460.83,85.4,0.0,0.0,0.0,100.0,26.13,100.0
Ice Extraction Proxy,3,-88.407,145.7309,-990.42,86.27,0.0,0.0,0.0,100.0,9.22,100.0
Ice Extraction Proxy,4,-88.5696,156.9818,-1233.06,86.66,0.0,0.0,0.0,100.0,11.97,100.0
Ice Extraction Proxy,5,-88.665,170.4446,-1822.91,81.43,0.0,0.0,0.0,100.0,17.89,100.0
High Radiation Safety Zone,1,-88.2542,42.6115,688.77,80.81,0.0,0.0,0.0,100.0,0.0,99.99
High Radiation Safety Zone,2,-88.4853,-34.3543,-124.86,71.21,0.0,0.0,0.0,100.0,0.0,99.99
High Radiation Safety Zone,3,-89.557,-121.6075,-130.11,84.29,0.0,0.0,0.0,100.0,0.0,99.99
High Radiation Safety Zone,4,-88.4901,31.496,-214.38,87.14,0.0,0.0,0.0,100.0,0.0,99.99
High Radiation Safety Zone,5,-88.668,156.7865,-145.93,78.31,0.0,0.0,0.0,100.0,0.0,99.99
